source,canonical_id,original_id,min_max_label,percentile_label,threshold_label,average_score,number_atoms,score_std
gcn_exp2,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8534015884995461,31,0.2295219966099515
gcn_exp3,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,PseudoPositive,Positive,0.8960467177629471,31,0.1733151079312969
gcn_exp4,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.927300307750702,31,0.1453777057421455
gcn_exp5,box1716,sdf_2-piezo-sdf_2-graphs-5A/unlabeled/box1716-filtered_graphs.npy,PseudoPositive,StrongPositive,Positive,0.961003748178482,31,0.074022128989491
gnn_exp1,box1716,sdf_2-piezo-graph-5A/unlabeled/box1716-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9175633096694946,31,0.0598459852162236
gnn_exp2,box1716,sdf_2-piezo-graph-5A/unlabeled/box1716-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9485272085666656,31,0.0400060046174951
gnn_exp3,box1716,sdf_2-piezo-graph-5A/unlabeled/box1716-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9616994893550872,31,0.0321581769062717
gnn_exp4,box1716,sdf_2-piezo-graph-5A/unlabeled/box1716-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9615977585315704,31,0.0339496469256248
gnn_exp5,box1716,sdf_2-piezo-graph-5A/unlabeled/box1716-filtered_combined_matrix.npy,StrongPositive,StrongPositive,Positive,0.9846354758739472,31,0.0081199603335804
gnn_exp1,box1728,sdf_2-piezo-graph-5A/unlabeled/box1728-filtered_combined_matrix.npy,PseudoPositive,StrongPositive,Positive,0.9292031013965608,54,0.0603572696201337
gnn_exp2,box1728,sdf_2-piezo-graph-5A/unlabeled/box1728-filtered_combined_matrix.npy,PseudoPositive,PseudoPositive,Positive,0.8398914128541947,54,0.1228705552630351
