source,canonical_id,original_id,percentile_label,average_score,score_std,number_atoms
gnn_exp1,box4069,sdf_2-piezo-graph-5A/unlabeled/box4069-filtered_combined_matrix.npy,StrongPositive,0.8966308498382568,0.0676995811257771,42
gnn_exp4,box4070,sdf_2-piezo-graph-5A/unlabeled/box4070-filtered_combined_matrix.npy,StrongPositive,0.9237774085998536,0.0534513909612059,45
gnn_exp1,box4084,sdf_2-piezo-graph-5A/unlabeled/box4084-filtered_combined_matrix.npy,StrongPositive,0.9480772697925568,0.0430388585654605,49
gnn_exp3,box4098,sdf_2-piezo-graph-5A/unlabeled/box4098-filtered_combined_matrix.npy,StrongPositive,0.848763934969902,0.123180232023041,45
gnn_exp1,box4099,sdf_2-piezo-graph-5A/unlabeled/box4099-filtered_combined_matrix.npy,StrongPositive,0.8444733768701553,0.1350482704328258,50
gnn_exp3,box4112,sdf_2-piezo-graph-5A/unlabeled/box4112-filtered_combined_matrix.npy,StrongPositive,0.8551496517658234,0.1361449549176273,59
gnn_exp1,box4127,sdf_2-piezo-graph-5A/unlabeled/box4127-filtered_combined_matrix.npy,StrongPositive,0.930172802209854,0.0751784352160777,46
gnn_exp1,box4131,sdf_2-piezo-graph-5A/unlabeled/box4131-filtered_combined_matrix.npy,StrongPositive,0.9159344339370727,0.0527326520968106,59
gnn_exp1,box4136,sdf_2-piezo-graph-5A/unlabeled/box4136-filtered_combined_matrix.npy,StrongPositive,0.8992057889699936,0.109752154934785,48
gnn_exp1,box4142,sdf_2-piezo-graph-5A/unlabeled/box4142-filtered_combined_matrix.npy,StrongPositive,0.8333532720804214,0.1411455057941131,48
gnn_exp1,box4145,sdf_2-piezo-graph-5A/unlabeled/box4145-filtered_combined_matrix.npy,StrongPositive,0.9725233733654022,0.020966661418905,52
gnn_exp3,box4162,sdf_2-piezo-graph-5A/unlabeled/box4162-filtered_combined_matrix.npy,StrongPositive,0.8653421568870544,0.0772668966297226,80
gnn_exp1,box4185,sdf_2-piezo-graph-5A/unlabeled/box4185-filtered_combined_matrix.npy,StrongPositive,0.9123600608110428,0.080613539080145,49
gnn_exp3,box4189,sdf_2-piezo-graph-5A/unlabeled/box4189-filtered_combined_matrix.npy,StrongPositive,0.8445444083213807,0.1230669080278433,55
gnn_exp1,box4192,sdf_2-piezo-graph-5A/unlabeled/box4192-filtered_combined_matrix.npy,StrongPositive,0.8795773041248321,0.0737465193530333,41
gnn_exp1,box4207,sdf_2-piezo-graph-5A/unlabeled/box4207-filtered_combined_matrix.npy,StrongPositive,0.856377643942833,0.1248149734222509,39
gnn_exp3,box4211,sdf_2-piezo-graph-5A/unlabeled/box4211-filtered_combined_matrix.npy,StrongPositive,0.8962817519903183,0.0987696173740635,55
gnn_exp4,box4219,sdf_2-piezo-graph-5A/unlabeled/box4219-filtered_combined_matrix.npy,StrongPositive,0.8708970510959625,0.0997766825270727,44
gnn_exp1,box4226,sdf_2-piezo-graph-5A/unlabeled/box4226-filtered_combined_matrix.npy,StrongPositive,0.9264734482765198,0.0707070512112863,48
gnn_exp1,box4227,sdf_2-piezo-graph-5A/unlabeled/box4227-filtered_combined_matrix.npy,StrongPositive,0.8660281676054001,0.1129749783440455,43
gnn_exp1,box4345,sdf_2-piezo-graph-5A/unlabeled/box4345-filtered_combined_matrix.npy,StrongPositive,0.8484250205755234,0.1302725719941672,44
gnn_exp3,box4369,sdf_2-piezo-graph-5A/unlabeled/box4369-filtered_combined_matrix.npy,StrongPositive,0.8733072865009308,0.0944090177111031,37
gnn_exp1,box4375,sdf_2-piezo-graph-5A/unlabeled/box4375-filtered_combined_matrix.npy,StrongPositive,0.896481237411499,0.0740399009669283,36
gnn_exp1,box4388,sdf_2-piezo-graph-5A/unlabeled/box4388-filtered_combined_matrix.npy,StrongPositive,0.8371237260103226,0.1105288609383956,37
gnn_exp1,box4398,sdf_2-piezo-graph-5A/unlabeled/box4398-filtered_combined_matrix.npy,StrongPositive,0.8706852316856384,0.096618931411028,47
gnn_exp1,box4399,sdf_2-piezo-graph-5A/unlabeled/box4399-filtered_combined_matrix.npy,StrongPositive,0.932120099067688,0.0646177542884879,54
gnn_exp3,box4400,sdf_2-piezo-graph-5A/unlabeled/box4400-filtered_combined_matrix.npy,StrongPositive,0.8443428313732148,0.1398432657446381,54
gnn_exp4,box4413,sdf_2-piezo-graph-5A/unlabeled/box4413-filtered_combined_matrix.npy,StrongPositive,0.8355224502086639,0.1097325319205885,44
gnn_exp4,box4442,sdf_2-piezo-graph-5A/unlabeled/box4442-filtered_combined_matrix.npy,StrongPositive,0.9091189014911653,0.0566031304936369,48
gnn_exp1,box4458,sdf_2-piezo-graph-5A/unlabeled/box4458-filtered_combined_matrix.npy,StrongPositive,0.8516471606492996,0.1381093754689906,46
gnn_exp2,box4474,sdf_2-piezo-graph-5A/unlabeled/box4474-filtered_combined_matrix.npy,StrongPositive,0.8998855650424957,0.0872194360624434,61
